cod_mun,municipio,mes,especialidade,internacoes,valor_total_brl,dias_permanencia,obitos
110002,Outros estados / ignorado,2025-01,Clínico,1,444.07,13,0
110002,Outros estados / ignorado,2025-02,Cirúrgico,1,211.13,2,0
110002,Outros estados / ignorado,2025-03,Clínico,1,1819.37,59,0
110002,Outros estados / ignorado,2025-04,Cirúrgico,1,3975.04,53,0
110002,Outros estados / ignorado,2025-08,Cirúrgico,1,10476.91,46,0
110004,Outros estados / ignorado,2025-10,Cirúrgico,1,2936.9,1,0
110004,Outros estados / ignorado,2025-11,Cirúrgico,1,19305.54,27,0
110005,Outros estados / ignorado,2025-09,Cirúrgico,1,624.18,5,0
110012,Outros estados / ignorado,2025-04,Cirúrgico,1,6266.17,6,0
110012,Outros estados / ignorado,2025-10,Cirúrgico,1,12219.4,18,0
110020,Outros estados / ignorado,2025-01,Cirúrgico,1,779.6,1,0
110020,Outros estados / ignorado,2025-02,Clínico,1,40.38,2,0
110020,Outros estados / ignorado,2025-03,Clínico,1,40.38,1,0
110020,Outros estados / ignorado,2025-04,Cirúrgico,2,2369.67,23,0
110020,Outros estados / ignorado,2025-07,Cirúrgico,1,7039.79,1,0
110020,Outros estados / ignorado,2025-07,Pediátrico,1,1521.42,23,0
110020,Outros estados / ignorado,2025-08,Clínico,1,199.33,2,0
110020,Outros estados / ignorado,2025-08,Obstétrico,1,772.18,2,0
110020,Outros estados / ignorado,2025-10,Cirúrgico,1,20404.93,9,0
110020,Outros estados / ignorado,2025-11,Clínico,1,199.33,1,0
110028,Outros estados / ignorado,2025-09,Cirúrgico,1,406.32,4,0
110028,Outros estados / ignorado,2025-10,Cirúrgico,1,2095.08,51,0
110040,Outros estados / ignorado,2025-09,Clínico,1,8530.41,1,0
110120,Outros estados / ignorado,2025-09,Cirúrgico,1,29973.31,20,0
120010,Outros estados / ignorado,2025-05,Cirúrgico,1,14640.83,6,0
120010,Outros estados / ignorado,2025-11,Clínico,1,333.96,7,0
120020,Outros estados / ignorado,2025-02,Cirúrgico,1,9556.25,74,0
120020,Outros estados / ignorado,2025-06,Cirúrgico,3,1975.22,23,0
120020,Outros estados / ignorado,2025-10,Psiquiatria,1,49.7,1,0
120030,Outros estados / ignorado,2025-08,Clínico,1,2893.62,32,0
120030,Outros estados / ignorado,2025-09,Cirúrgico,1,6314.17,6,0
120030,Outros estados / ignorado,2025-12,Cirúrgico,1,785.04,2,0
120040,Outros estados / ignorado,2025-01,Cirúrgico,2,11404.04,71,0
120040,Outros estados / ignorado,2025-05,Cirúrgico,1,16032.8,24,0
