mes,internacoes,valor_total_brl,dias_permanencia,obitos,media_permanencia_dias,taxa_mortalidade_pct
2025-01,75893,137962535.23,419550,5255,5.53,6.92
2025-02,71711,127745379.7,378210,4729,5.27,6.59
2025-03,73809,133615088.79,395694,4663,5.36,6.32
2025-04,73206,131782713.97,394730,4712,5.39,6.44
2025-05,78635,145584777.85,416856,4934,5.3,6.27
2025-06,78073,147127957.85,411194,5501,5.27,7.05
2025-07,80739,152083715.92,425350,5400,5.27,6.69
2025-08,79180,147621188.6,413185,5135,5.22,6.49
2025-09,80405,147934240.17,416512,4963,5.18,6.17
2025-10,81066,154801687.02,420977,4714,5.19,5.82
2025-11,77250,141762235.73,393220,4607,5.09,5.96
2025-12,76169,143981166.3,393171,4583,5.16,6.02
